species,length,weight,height
Bream,25.4,242,38.4
Bream,26.3,290,40
Bream,26.5,340,39.8
Bream,29,363,38
Bream,29.7,450,39.2
Bream,29.7,500,41.1
Bream,30,390,36.2
Bream,30,450,39.9
Bream,30.7,500,39.3
Bream,31,475,39.4
Bream,31,500,39.7
Bream,31.5,500,37.8
Bream,32,NA,37.3
Bream,32,600,40.2
Bream,32,600,41.5
Bream,33,700,38.8
Bream,33,700,38.8
Bream,33.5,610,40.5
Bream,33.5,650,37.4
Bream,34,575,38.3
Bream,34,685,40.8
Bream,34.5,620,39.1
Bream,35,680,38.1
Bream,35,700,40.1
Bream,35,725,40
Bream,35,720,40.3
Bream,36,714,39.8
Bream,36,850,40.6
Bream,37,1000,44.5
Bream,38.5,920,40.9
Bream,38.5,955,41.1
Bream,39.5,925,41.4
Bream,41,975,40.6
Bream,41,950,37.9
Whitefish,26,270,29.2
Whitefish,26.5,270,27.8
Whitefish,28,306,28.5
Whitefish,31,540,31.6
Whitefish,36.4,800,29.7
Whitefish,40,1000,28.4
Roach,14.1,40,25.6
Roach,18.2,69,26.1
Roach,18.8,78,26.3
Roach,19.8,87,25.3
Roach,20,120,28
Roach,20.5,0,28.4
Roach,20.8,110,26.7
Roach,21,120,25.8
Roach,22,150,23.5
Roach,22,145,27.3
Roach,22.5,160,27.8
Roach,22.5,140,26.2
Roach,22.5,160,25.6
Roach,24,169,27.7
Roach,23.4,161,25.9
Roach,23.5,200,27.6
Roach,25.2,180,25.4
Roach,26,290,30.4
Roach,27,272,28
Roach,31.7,390,27.1
Parkki,14.7,55,41.5
Parkki,15.5,60,37.8
Parkki,17.7,90,37.4
Parkki,19,120,39.4
Parkki,20,150,39.7
Parkki,20.7,140,36.8
Parkki,20.7,170,40.5
Parkki,21.5,145,40.4
Parkki,23,200,40.1
Parkki,25,273,39.6
Parkki,26,300,39.2
Smelt,9.8,6.7,16.1
Smelt,10.5,7.5,17
Smelt,10.6,7,14.9
Smelt,11,9.7,18.3
Smelt,11.2,9.8,16.8
Smelt,11.3,8.7,15.7
Smelt,11.8,10,16.9
Smelt,11.8,9.9,16.9
Smelt,12,9.8,16.7
Smelt,12.2,12.2,15.6
Smelt,12.4,13.4,18
Smelt,13,12.2,16.5
Smelt,14.3,19.7,18.9
Smelt,15,19.9,18.1
Pike,32.3,200,16
Pike,34,300,15.1
Pike,35,300,15.3
Pike,37.3,300,15.8
Pike,38,430,18
Pike,38.5,345,15.6
Pike,42.5,456,16
Pike,42.5,510,15
Pike,43,540,17
Pike,45,500,14.5
Pike,46,567,16
Pike,48,770,15
Pike,51.7,950,16.2
Pike,56,1250,17.9
Pike,60,1600,15
Pike,60,1550,15
Pike,63.4,1650,15.9
Perch,8.4,5.9,24
Perch,13.7,32,24
Perch,15,40,23.9
Perch,16.2,51.5,26.7
Perch,17.4,70,24.8
Perch,18,100,27.2
Perch,18.7,78,26.8
Perch,19,80,27.9
Perch,19.6,85,24.7
Perch,20,85,24.2
Perch,21,110,25.3
Perch,21,115,26.3
Perch,21,125,25.3
Perch,21.3,130,28
Perch,22,120,26
Perch,22,120,24
Perch,22,130,26
Perch,22,135,25
Perch,22,110,23.5
Perch,22.5,130,24.4
Perch,22.5,150,28.3
Perch,22.7,145,24.6
Perch,23,150,21.3
Perch,23.5,170,25.1
Perch,24,225,28.6
Perch,24,145,25
Perch,24.6,188,25.7
Perch,25,180,24.3
Perch,25.6,197,24.3
Perch,26.5,218,25.6
Perch,27.3,300,29
Perch,27.5,260,24.8
Perch,27.5,265,24.4
Perch,27.5,250,25.2
Perch,28,250,26.6
Perch,28.7,300,25.2
Perch,30,320,24.1
Perch,32.8,514,29.5
Perch,34.5,556,28.1
Perch,35,840,30.8
Perch,36.5,685,27.9
Perch,36,700,27.7
Perch,37,700,27.5
Perch,37,690,26.9
Perch,39,900,26.9
Perch,39,650,26.9
Perch,39,820,30.1
Perch,40,850,28.2
Perch,40,900,27.6
Perch,40,1015,29.2
Perch,40,820,26.2
Perch,42,1100,28.7
Perch,43,1000,26.4
Perch,43,1100,27.5
Perch,43.5,1000,27.4
Perch,44,1000,26.8
